Date,GM_Open,GM_High,GM_Low,GM_Close,GM_Adj Close,GM_Volume,F_Open,F_High,F_Low,F_Close,F_Adj Close,F_Volume,TSLA_Open,TSLA_High,TSLA_Low,TSLA_Close,TSLA_Adj Close,TSLA_Volume
11/18/2010,35,35.990002,33.889999,34.189999,26.155519,457044300,16.77,16.870001,16.049999,16.120001,10.878832,256937900,6.134,6.148,5.784,5.978,5.978,4780500
11/19/2010,34.150002,34.5,33.110001,34.259998,26.20907,107842000,16.02,16.379999,15.83,16.280001,10.986811,130323600,6.032,6.274,5.94,6.198,6.198,5752500
11/22/2010,34.200001,34.48,33.810001,34.080002,26.071363,36650600,16.26,16.540001,16.110001,16.200001,10.932823,91288900,6.314,6.69,6.3,6.68,6.68,7648500
11/23/2010,33.950001,33.990002,33.189999,33.25,25.436413,31170200,16.01,16.16,15.62,15.7,10.595387,96689100,6.658,7.136,6.438,6.914,6.914,7889000
11/24/2010,33.73,33.799999,33.220001,33.48,25.612371,26138000,15.95,16.059999,15.81,15.95,10.764105,66727700,7.054,7.194,6.866,7.094,7.094,7125000
11/26/2010,33.41,33.810001,33.209999,33.799999,25.857168,12301200,15.81,16.18,15.75,16.1,10.865335,31557200,7.12,7.2,6.95,7.064,7.064,1753000
11/29/2010,33.799999,33.810001,33.07,33.799999,25.857168,27776900,16.120001,16.120001,15.86,16.059999,10.838341,61577500,7.082,7.19,6.666,6.866,6.866,5728000
11/30/2010,33.529999,34.25,33.360001,34.200001,26.163168,57476900,15.92,15.99,15.83,15.94,10.757359,71737400,6.748,7.066,6.682,7.066,7.066,11113000
12/1/2010,34.650002,34.950001,34.419998,34.779999,26.606867,34633200,16.24,16.5,16.139999,16.459999,11.108285,100724400,7.174,7.284,6.69,6.87,6.87,6496000
12/2/2010,34.919998,34.98,34.509998,34.68,26.530375,23196100,16.719999,16.860001,16.629999,16.780001,11.324245,82484500,6.802,6.86,6.24,6.47,6.47,10035000
12/3/2010,34.549999,34.599998,33.970001,34.549999,26.430923,19395200,16.629999,16.83,16.6,16.799999,11.337741,67399500,6.402,6.45,6.174,6.298,6.298,5800500
12/6/2010,34.48,34.779999,34.41,34.48,26.377367,11676500,16.66,16.780001,16.52,16.65,11.236512,57290300,6.27,6.29,5.912,6.062,6.062,6372000
12/7/2010,34.75,34.889999,34.459999,34.68,26.530375,20823000,16.91,16.92,16.549999,16.559999,11.17577,64104300,6.098,6.48,6.01,6.312,6.312,6556500
12/8/2010,34.610001,34.73,34.330002,34.450001,26.354425,12603900,16.66,16.73,16.35,16.690001,11.263503,106700000,6.496,6.498,6.304,6.474,6.474,3300000
12/9/2010,34.360001,34.43,33.619999,33.740002,25.811264,18402200,16.82,16.85,16.66,16.76,11.310747,47280900,6.502,6.544,6.33,6.41,6.41,2030000
12/10/2010,33.849998,33.990002,33.529999,33.810001,25.864817,11741700,16.68,16.77,16.65,16.73,11.290502,38196000,6.41,6.584,6.226,6.304,6.304,2147000
12/13/2010,33.959999,34.049999,33.700001,33.799999,25.857168,11029300,16.65,16.719999,16.469999,16.469999,11.115035,53899700,6.328,6.354,6.08,6.11,6.11,2052000
12/14/2010,33.73,33.919998,33.450001,33.889999,25.926016,15165600,16.5,16.58,16.389999,16.42,11.081292,43070000,6.058,6.078,5.552,5.706,5.706,8828500
12/15/2010,33.810001,34.009998,33.610001,33.610001,25.711815,10182700,16.370001,16.66,16.35,16.549999,11.169024,44901200,5.734,5.994,5.706,5.92,5.92,3714500
12/16/2010,33.57,33.860001,33.560001,33.610001,25.711815,9885700,16.52,16.77,16.440001,16.77,11.317496,49567600,6,6.182,5.93,6.162,6.162,3950500
12/17/2010,33.529999,34,33.189999,34,26.010172,35681600,16.76,16.85,16.68,16.799999,11.337741,51948100,6.268,6.308,6.142,6.272,6.272,4065000
12/20/2010,33.91,34.049999,33.740002,33.759998,25.826567,12476400,16.85,16.9,16.629999,16.85,11.371487,41880000,6.328,6.438,6.252,6.34,6.34,2617000
12/21/2010,33.860001,33.939999,33.720001,33.849998,25.895414,9012400,16.889999,17,16.84,16.99,11.465961,35604000,6.36,6.538,6.342,6.452,6.452,3888500
12/22/2010,33.720001,34.950001,33.529999,34.919998,26.713964,20935100,17,17.030001,16.85,16.99,11.465961,31602700,6.45,6.572,6.34,6.526,6.526,4166500
12/23/2010,34.669998,35.52,34.619999,34.810001,26.629822,20529200,16.9,16.93,16.75,16.780001,11.324245,25730100,6.252,6.496,5.984,6.018,6.018,7763000
12/27/2010,34.41,34.889999,34.189999,34.599998,26.469166,7368300,16.719999,16.870001,16.6,16.870001,11.384983,27703900,5.604,5.716,5.012,5.11,5.11,46509500
12/28/2010,35.380001,35.669998,35.07,35.32,27.019974,23489000,16.83,16.85,16.65,16.73,11.290502,28413200,5.17,5.35,5,5.282,5.282,20281500
12/29/2010,35.470001,36.299999,35.25,36.02,27.555483,20960800,16.67,16.799999,16.65,16.74,11.297248,25556700,5.406,5.602,5.3,5.546,5.546,16596000
12/30/2010,36.099998,36.98,36.02,36.82,28.167486,16980800,16.719999,16.85,16.65,16.690001,11.263503,24055100,5.54,5.58,5.276,5.3,5.3,10205500
12/31/2010,36.84,36.959999,36.57,36.860001,28.198082,6163900,16.65,16.83,16.610001,16.790001,11.330993,22417600,5.314,5.45,5.3,5.326,5.326,7089500
1/3/2011,37.32,38,37.029999,37.060001,28.351082,24874900,17.02,17.309999,17,17.25,11.641431,70794200,5.368,5.4,5.18,5.324,5.324,6415000
1/4/2011,37.099998,37.990002,36.68,37.900002,28.993698,32363400,17.389999,17.66,16.959999,17.379999,11.729163,106477200,5.332,5.39,5.204,5.334,5.334,5937000
1/5/2011,37.470001,38.299999,37.470001,38.07,29.123735,22503900,17.309999,18.09,17.219999,17.889999,12.073344,112378000,5.296,5.38,5.238,5.366,5.366,7233500
1/6/2011,38.240002,39.48,38.07,38.900002,29.758701,38556900,18.030001,18.290001,17.950001,18.219999,12.296046,96284400,5.366,5.6,5.362,5.576,5.576,10306000
1/7/2011,38.84,39.330002,38.509998,38.98,29.819895,19901100,18.42,18.42,18.08,18.27,12.329793,99029500,5.6,5.716,5.58,5.648,5.648,11239500
1/10/2011,39.34,39.360001,38.439999,38.560001,29.498587,18341600,18.43,18.49,18.16,18.309999,12.356788,65348400,5.634,5.736,5.61,5.69,5.69,6713500
1/11/2011,38.66,39.43,38.509998,38.75,29.643944,14856500,18.48,18.49,18.129999,18.280001,12.336543,61312500,5.718,5.742,5.384,5.392,5.392,8551000
1/12/2011,38.950001,39.369999,38.369999,38.619999,29.544485,16773900,18.360001,18.75,18.290001,18.709999,12.626733,66841400,5.402,5.48,5.304,5.392,5.392,4822000
1/13/2011,38.66,38.709999,38.110001,38.27,29.276733,11358300,18.809999,18.969999,18.549999,18.68,12.606486,100459700,5.392,5.394,5.232,5.244,5.244,3618000
1/14/2011,38.18,38.470001,38.040001,38.200001,29.22319,5894200,18.610001,18.75,18.58,18.65,12.586242,50279400,5.23,5.316,5.122,5.15,5.15,5960000
1/18/2011,38.049999,38.330002,37.32,38.029999,29.093142,8918200,18.66,18.77,18.610001,18.700001,12.619986,39737500,5.096,5.128,4.95,5.128,5.128,8108500
1/19/2011,37.779999,37.93,37.259998,37.400002,28.611189,12667700,18.709999,18.719999,17.77,17.9,12.080093,89216500,5.054,5.094,4.75,4.806,4.806,11857500
1/20/2011,37.110001,37.290001,36.27,37.18,28.442886,15844900,17.77,18,17.35,17.780001,11.999106,93501600,4.806,4.89,4.474,4.524,4.524,11399500
1/21/2011,37.330002,37.849998,36.82,37.240002,28.488781,9548500,17.99,18.110001,17.870001,17.950001,12.113837,48717700,4.624,4.718,4.542,4.608,4.608,6085000
1/24/2011,37.709999,37.860001,37.029999,37.639999,28.794786,12202800,18.030001,18.030001,17.75,17.93,12.100339,51698600,4.706,4.962,4.646,4.898,4.898,8225500
1/25/2011,37.849998,38.490002,37.709999,38.400002,29.37619,12318700,17.860001,18.02,17.66,17.889999,12.073344,47155800,4.93,4.978,4.804,4.936,4.936,6357500
1/26/2011,38.75,38.91,37.860001,37.889999,28.98604,11534600,17.969999,18.43,17.9,18.370001,12.397282,66834100,4.942,4.976,4.82,4.95,4.95,5399500
1/27/2011,38.200001,38.950001,38.029999,38.669998,29.582739,13950000,18.52,18.879999,18.33,18.790001,12.680722,67711700,4.948,5.016,4.906,4.984,4.984,4478500
1/28/2011,38,38.02,36.009998,36.599998,27.999182,37134600,17.790001,17.879999,15.98,16.27,10.980063,480879500,4.976,4.976,4.75,4.802,4.802,5242000
1/31/2011,36.889999,37.049999,35.889999,36.490002,27.915033,13954800,16.559999,16.639999,15.45,15.95,10.764105,275198200,4.81,4.824,4.7,4.82,4.82,4151500
2/1/2011,36.93,37.23,36.130001,36.450001,27.884432,28091600,16.139999,16.24,15.85,15.89,10.723615,178894300,4.862,4.946,4.708,4.782,4.782,3539000
2/2/2011,36.459999,36.560001,35.580002,35.68,27.295374,17434700,15.91,15.98,15.31,15.4,10.392929,187008500,4.832,4.836,4.734,4.788,4.788,2847500
2/3/2011,35.970001,36.060001,35.130001,36.060001,27.586082,19350000,15.38,15.78,15.1,15.76,10.635881,153131300,4.764,4.78,4.63,4.726,4.726,2560000
2/4/2011,36.25,36.73,35.889999,36.59,27.991531,11115000,15.91,15.95,15.64,15.72,10.608884,79198700,4.688,4.734,4.644,4.692,4.692,2720000
2/7/2011,36.950001,37.09,36.610001,36.700001,28.075689,7328800,15.84,16.360001,15.8,16.110001,10.872086,118132900,4.652,4.652,4.576,4.614,4.614,4475500
2/8/2011,36.970001,37.049999,36.400002,36.889999,28.221037,6243000,16.17,16.26,16.02,16.24,10.959816,59674500,4.756,5.05,4.6,4.898,4.898,17524500
2/9/2011,36.82,36.91,36.279999,36.41,27.85383,6399300,16.129999,16.299999,16.02,16.09,10.858588,61896700,4.826,4.836,4.558,4.642,4.642,13178000
2/10/2011,36.169998,36.639999,35.52,35.880001,27.448378,11542400,15.99,16.110001,15.9,15.95,10.764105,65334900,4.652,4.728,4.562,4.644,4.644,4180500
2/11/2011,35.759998,36.57,35.549999,36.450001,27.884432,13508300,16.059999,16.51,15.99,16.379999,11.054296,94736400,4.65,4.75,4.588,4.65,4.65,3172500
2/14/2011,36.549999,36.560001,35.470001,36.290001,27.76203,7121200,16.379999,16.389999,16.02,16.09,10.858588,69632700,4.728,4.828,4.61,4.616,4.616,6415500
2/15/2011,36.189999,36.41,35.799999,36.110001,27.624327,10336500,16.030001,16.16,15.95,16.1,10.865335,51612800,4.602,4.634,4.512,4.568,4.568,4768500
2/16/2011,36.110001,36.84,36.02,36.75,28.113934,8680900,16.16,16.18,16,16.049999,10.831589,59843600,4.62,4.994,4.614,4.946,4.946,20575500
2/17/2011,36.549999,36.700001,36.299999,36.369999,27.823223,7463000,16.01,16.030001,15.83,15.97,10.777603,53727600,4.926,5.098,4.71,4.72,4.72,13092000
2/18/2011,36.419998,36.759998,36.380001,36.509998,27.930323,6815800,15.95,15.99,15.7,15.77,10.64263,68774000,4.666,4.698,4.592,4.636,4.636,11853500
2/22/2011,35.860001,36.150002,35.450001,35.77,27.364235,13937400,15.36,15.52,15.08,15.23,10.278199,97449900,4.576,4.6,4.356,4.374,4.374,10323000
2/23/2011,35.849998,35.939999,33.799999,34.59,26.461519,28192500,15.02,15.04,14.49,14.86,10.028502,159528600,4.436,4.5,4.222,4.366,4.366,8028000
2/24/2011,34.900002,35,32.049999,33.02,25.26046,63562800,14.57,14.99,14.5,14.7,9.920525,120277400,4.356,4.516,4.3,4.506,4.506,5276500
2/25/2011,33.669998,34.200001,33.049999,33.25,25.436413,29017800,14.94,15.11,14.85,15.07,10.170226,78341600,4.562,4.77,4.538,4.722,4.722,6731500
2/28/2011,33.490002,33.740002,32.860001,33.529999,25.650616,15886400,15.29,15.29,14.89,15.05,10.156725,54120000,4.748,4.82,4.7,4.778,4.778,5256000
3/1/2011,33.689999,33.75,32.43,32.950001,25.206909,27321600,15.1,15.12,14.6,14.66,9.893529,74337200,4.81,4.864,4.74,4.788,4.788,5532000
3/2/2011,32.900002,33.169998,32.59,32.880001,25.153362,14306700,14.66,14.89,14.62,14.66,9.893529,67127000,4.764,4.856,4.746,4.804,4.804,3316500
3/3/2011,33.029999,33.169998,32.650002,33.029999,25.26811,17614800,14.9,14.95,14.66,14.76,9.961016,66720400,4.896,4.958,4.812,4.872,4.872,3201000
3/4/2011,33.07,33.080002,32.009998,32.389999,24.778511,24240900,14.79,14.79,14.28,14.42,9.731562,81593400,4.896,4.998,4.756,4.99,4.99,7900500
3/7/2011,32.349998,32.5,31.52,31.700001,24.250656,15077100,14.34,14.42,13.98,14.01,9.454866,105389900,4.986,5.08,4.94,4.988,4.988,10168000
3/8/2011,31.74,32.82,31.690001,32.720001,25.03096,14509400,14.02,14.55,14.01,14.47,9.765304,106699200,4.92,4.992,4.8,4.932,4.932,6999500
3/9/2011,32.740002,32.759998,32.099998,32.25,24.671413,11225600,14.59,14.6,14.25,14.29,9.64383,68046300,4.932,4.998,4.854,4.944,4.944,4624000
3/10/2011,31.469999,31.780001,30.950001,31.42,24.036451,38333600,14.1,14.28,14.01,14.06,9.48861,107127400,4.888,4.898,4.746,4.802,4.802,5085000
3/11/2011,31.25,32.060001,31.24,31.93,24.426605,14024000,13.9,14.46,13.87,14.36,9.691067,72249100,4.77,4.85,4.706,4.814,4.814,4654000
3/14/2011,32.139999,32.299999,31.43,31.59,24.166506,9976500,14.47,14.64,14.2,14.3,9.650577,65056100,4.764,4.8,4.64,4.65,4.65,5830000
3/15/2011,30.98,32.490002,30.65,32.349998,24.74791,21471300,13.8,14.8,13.75,14.67,9.900277,108919700,4.44,4.592,4.36,4.59,4.59,6594000
3/16/2011,32.419998,32.529999,31.4,31.780001,24.311859,14148900,14.73,14.79,13.89,14.18,9.569594,127862700,4.572,4.65,4.538,4.564,4.564,5848500
3/17/2011,32.18,32.389999,31.33,31.440001,24.051756,11025600,14.56,14.58,14.18,14.26,9.623582,78683000,4.648,4.686,4.528,4.562,4.562,4613000
3/18/2011,31.74,31.950001,31.42,31.85,24.365406,9861200,14.58,14.67,14.43,14.49,9.7788,64541000,4.638,4.638,4.502,4.592,4.592,3439500
3/21/2011,32.240002,32.299999,31.23,31.280001,23.929356,13196500,14.7,14.72,14.48,14.59,9.846288,46486600,4.61,4.61,4.508,4.546,4.546,2058500
3/22/2011,31.280001,31.35,30.51,30.74,23.516253,16982100,14.52,14.57,14.32,14.34,9.677572,44731700,4.546,4.572,4.4,4.438,4.438,2914500
3/23/2011,30.6,31.280001,30.200001,31.16,23.837553,23016000,14.26,14.45,14.02,14.31,9.657326,64431300,4.422,4.454,4.354,4.442,4.442,2114000
3/24/2011,31.32,31.6,31.24,31.389999,24.013506,15743100,14.4,15.12,14.39,15.04,10.149978,128201100,4.428,4.476,4.396,4.466,4.466,2311000
3/25/2011,31.49,31.700001,31.09,31.469999,24.074701,15242300,15.2,15.2,14.9,15.01,10.129731,58954600,4.486,4.6,4.48,4.55,4.55,2840000
3/28/2011,31.58,31.58,30.85,30.85,23.600403,10302600,14.99,15.09,14.83,14.86,10.028502,41259800,4.54,4.708,4.51,4.65,4.65,5290500
3/29/2011,30.93,31.17,30.68,31.1,23.791653,9756700,14.83,14.94,14.73,14.84,10.015003,33301800,4.66,4.8,4.642,4.784,4.784,3777000
3/30/2011,31.16,31.639999,31.040001,31.549999,24.135904,7657000,14.88,14.97,14.74,14.86,10.028502,40889600,4.822,4.898,4.602,4.742,4.742,6116500
3/31/2011,31.4,31.549999,31,31.030001,23.738104,8976600,14.82,14.95,14.71,14.91,10.062245,41909100,5.31,5.742,5.3,5.55,5.55,57589000
4/1/2011,31.389999,32.630001,30.84,32.41,24.79381,29883100,15.03,15.42,14.92,15.16,10.230962,116247300,5.49,5.636,5.314,5.332,5.332,14324000
4/4/2011,32.5,32.720001,32.200001,32.389999,24.778511,12331400,15.39,15.74,15.39,15.55,10.494159,99116600,5.366,5.4,5.046,5.166,5.166,13046500
4/5/2011,32.32,32.869999,32.099998,32.869999,25.145714,10106900,15.65,15.81,15.55,15.79,10.656127,72322800,5.18,5.4,5.138,5.34,5.34,15904500
4/6/2011,33,33.279999,32.52,32.869999,25.145714,8160100,15.91,15.98,15.61,15.73,10.615636,62315800,5.398,5.402,5.16,5.298,5.298,6441500
4/7/2011,32.84,32.84,32.07,32.310001,24.717306,11242400,15.71,15.82,15.45,15.53,10.480661,51295100,5.37,5.588,5.29,5.448,5.448,14051500
4/8/2011,32.400002,32.75,31.33,31.52,24.112957,16057700,15.65,15.68,15.16,15.33,10.34569,51126100,5.516,5.52,5.272,5.298,5.298,9732000
4/11/2011,31.34,31.450001,30.549999,30.77,23.539198,15179100,15.27,15.4,14.74,14.86,10.028502,85626200,5.294,5.306,5.004,5.054,5.054,6847000
4/12/2011,30.4,31.34,30.1,31.15,23.829903,19648600,14.59,15,14.5,14.91,10.062245,82591000,5.016,5.042,4.86,4.93,4.93,6787000
4/13/2011,31.23,31.32,30.59,30.860001,23.608049,13781100,15.04,15.05,14.8,14.98,10.109485,58736600,5.026,5.138,4.962,4.986,4.986,6057500
4/14/2011,30.65,30.860001,30.35,30.58,23.393852,9044800,14.74,14.85,14.61,14.81,9.99476,62357700,4.974,5.056,4.84,5.028,5.028,4917000
4/15/2011,30.59,30.719999,30.18,30.24,23.133747,9882800,14.86,14.91,14.61,14.71,9.927271,47434700,5.13,5.236,5.082,5.116,5.116,4717500
4/18/2011,30.059999,30.34,29.9,29.969999,22.927202,12745600,14.51,14.74,14.49,14.62,9.866532,49822500,5.026,5.124,4.872,5.006,5.006,5169500
4/19/2011,29.809999,29.91,29.17,29.59,22.636501,19914800,14.65,14.79,14.54,14.66,9.893529,33575500,5.052,5.052,4.93,5.032,5.032,2743500
4/20/2011,29.76,30.379999,29.42,29.93,22.896601,22038100,14.95,15.2,14.84,15.09,10.18372,70978900,5.14,5.218,5.06,5.15,5.15,4186000
4/21/2011,30.049999,31,30.01,30.950001,23.676907,18920800,15.23,15.45,15.1,15.43,10.413177,53181900,5.17,5.396,5.118,5.348,5.348,6930500
4/25/2011,31,31.190001,30.32,31.139999,23.822256,15442500,15.51,15.59,15.35,15.54,10.487411,54775800,5.34,5.346,5.194,5.278,5.278,4004500
4/26/2011,31.389999,31.51,30.959999,31.27,23.921703,15700000,16.040001,16.18,15.66,15.66,10.568394,166900000,5.332,5.45,5.262,5.386,5.386,7000000
4/27/2011,31.469999,31.790001,31.280001,31.780001,24.311859,14945600,15.85,15.87,15.42,15.58,10.514405,84380600,5.386,5.472,5.326,5.416,5.416,4984500
4/28/2011,31.76,32.099998,31.48,31.91,24.411306,15810100,15.47,15.7,15.42,15.5,10.460417,48145500,5.414,5.538,5.344,5.532,5.532,8000000
4/29/2011,31.99,32.580002,31.91,32.09,24.549011,13774600,15.49,15.68,15.4,15.47,10.440168,40203200,5.538,5.574,5.484,5.52,5.52,3630000
5/2/2011,32.41,32.5,31.92,32.18,24.617861,11014500,15.52,15.69,15.41,15.45,10.426673,42185500,5.52,5.56,5.412,5.49,5.49,3923000
5/3/2011,32.380001,33.200001,32.360001,32.990002,25.237513,29894800,15.42,15.56,15.26,15.38,10.379432,68659100,5.476,5.478,5.3,5.374,5.374,4569500
5/4/2011,33.16,33.470001,32.709999,33.040001,25.275766,20492000,15.42,15.45,14.97,15.15,10.224215,71753400,5.356,5.4,5.15,5.338,5.338,5222500
5/5/2011,32.060001,32.68,31.49,32.02,24.495461,26623400,14.97,15.3,14.88,15.08,10.176971,62502900,5.44,5.488,5.234,5.288,5.288,6092500
5/6/2011,32.5,32.599998,31.84,31.91,24.411306,12801800,15.26,15.37,15.08,15.11,10.197218,58371200,5.38,5.54,5.324,5.424,5.424,4908500
5/9/2011,31.74,32.060001,31.360001,31.389999,24.013506,10716400,15.12,15.2,15.02,15.08,10.176971,33369700,5.4,5.6,5.37,5.582,5.582,4582000
5/10/2011,31.469999,31.639999,31.33,31.610001,24.18181,7841900,15.13,15.2,15.08,15.15,10.224215,36633400,5.648,5.79,5.582,5.666,5.666,7676500
5/11/2011,31.57,31.860001,31.110001,31.299999,23.944656,9073300,15.11,15.35,15.06,15.15,10.224215,54989600,5.64,5.66,5.384,5.414,5.414,4812500
5/12/2011,31.07,31.6,30.93,31.42,24.036451,14128200,15.14,15.34,15.12,15.26,10.298447,48775700,5.414,5.548,5.33,5.534,5.534,3140000
5/13/2011,31.459999,31.540001,30.85,31.07,23.768705,10837200,15.22,15.3,15.03,15.08,10.176971,43317100,5.6,5.638,5.46,5.51,5.51,3307500
5/16/2011,31.25,31.5,31.08,31.1,23.791653,7291700,15.21,15.32,15.1,15.13,10.210714,51778600,5.598,5.598,5.31,5.32,5.32,3778500
5/17/2011,31.059999,31.379999,30.83,31.1,23.791653,11191200,15.06,15.18,14.82,14.97,10.102736,65261100,5.4,5.4,5.144,5.192,5.192,6171000
5/18/2011,31.07,31.620001,31,31.52,24.112957,9949400,15.01,15.16,14.87,15.12,10.203967,41278000,5.22,5.294,5.104,5.27,5.27,3647500
5/19/2011,31.530001,31.790001,31.309999,31.469999,24.074701,9575300,15.1,15.17,15.01,15.12,10.203967,38684200,5.406,5.688,5.32,5.64,5.64,13275500
5/20/2011,31.360001,31.5,31.1,31.18,23.852854,7224100,15.05,15.11,14.97,15,10.122983,39285300,5.652,5.656,5.47,5.594,5.594,4212500
5/23/2011,30.68,31.16,30.5,30.959999,23.684555,8971700,14.71,14.93,14.65,14.8,9.988009,49529300,5.524,5.524,5.324,5.364,5.364,4318000
5/24/2011,31.129999,31.200001,30.5,30.83,23.585102,8779100,14.84,14.85,14.56,14.66,9.893529,48890300,5.404,5.5,5.32,5.344,5.344,3068500
5/25/2011,30.559999,31.379999,30.5,31.27,23.921703,14390800,14.54,14.66,14.35,14.58,9.839539,93969200,5.38,5.802,5.234,5.796,5.796,23465500
5/26/2011,31.08,31.1,30.52,30.68,23.47035,12244400,14.51,14.6,14.4,14.56,9.826042,45961100,5.764,5.952,5.62,5.896,5.896,16684500
5/27/2011,30.77,31.48,30.59,31.280001,23.929356,9114200,14.55,14.64,14.46,14.6,9.853034,35654200,5.908,5.934,5.764,5.91,5.91,8435500
5/31/2011,31.440001,31.870001,31.129999,31.809999,24.33481,22938900,14.75,14.92,14.64,14.92,10.068995,66438900,5.938,6.056,5.91,6.028,6.028,16452500
6/1/2011,31.700001,31.700001,30.15,30.23,23.126097,19134400,14.78,14.9,14.2,14.23,9.603338,91509400,6,6.02,5.676,5.704,5.704,7649500
6/2/2011,30.33,30.559999,29.4,29.6,22.644148,22440900,14.26,14.37,14.09,14.18,9.569594,58588100,5.704,5.864,5.702,5.752,5.752,4931500
